Source,Target,Board
001TXY-E,34537086,Ford Motor Company
05DXBX-E,26054310,Dow Chemical Company
007NFD-E,26054310,Dow Chemical Company
05DXC0-E,26054310,Dow Chemical Company
004B82-E,26054310,Dow Chemical Company
05DVQH-E,26054310,Dow Chemical Company
06Z08F-E,26054310,Dow Chemical Company
002RPX-E,26054310,Dow Chemical Company
05DZDB-E,26054310,Dow Chemical Company
05DYJV-E,26054310,Dow Chemical Company
0058DG-E,96332010,Whirlpool Corporation
007X4X-E,96332010,Whirlpool Corporation
05DVQG-E,96332010,Whirlpool Corporation
079DX9-E,96332010,Whirlpool Corporation
07VS77-E,96332010,Whirlpool Corporation
05FCQ0-E,96332010,Whirlpool Corporation
05F1P6-E,96332010,Whirlpool Corporation
05X2BK-E,96332010,Whirlpool Corporation
067L7N-E,96332010,Whirlpool Corporation
05G3K2-E,96332010,Whirlpool Corporation
05HSNN-E,96332010,Whirlpool Corporation
05DZ5T-E,96332010,Whirlpool Corporation
05DZ06-E,87264S10,TRW Automotive Holdings Corp.
05G1S0-E,87264S10,TRW Automotive Holdings Corp.
002GMN-E,87264S10,TRW Automotive Holdings Corp.
005F17-E,87264S10,TRW Automotive Holdings Corp.
05F267-E,87264S10,TRW Automotive Holdings Corp.
07B75Q-E,87264S10,TRW Automotive Holdings Corp.
05G1S2-E,87264S10,TRW Automotive Holdings Corp.
05TCKB-E,87264S10,TRW Automotive Holdings Corp.
074TND-E,87264S10,TRW Automotive Holdings Corp.
00F4JM-E,52186520,Lear Corporation
05GGCN-E,52186520,Lear Corporation
0030H3-E,52186520,Lear Corporation
004ZCF-E,52186520,Lear Corporation
05KZ3N-E,52186520,Lear Corporation
05DYP9-E,52186520,Lear Corporation
06DF0D-E,52186520,Lear Corporation
0058JC-E,52186520,Lear Corporation
004S0S-E,48783610,Kellogg Company
05DY1F-E,48783610,Kellogg Company
05F5TJ-E,48783610,Kellogg Company
005WSP-E,48783610,Kellogg Company
05DW2Z-E,48783610,Kellogg Company
05G3K0-E,48783610,Kellogg Company
005KLD-E,48783610,Kellogg Company
05DY1N-E,48783610,Kellogg Company
007PZY-E,48783610,Kellogg Company
05F86S-E,48783610,Kellogg Company
05JZCB-E,48783610,Kellogg Company
0CHZQS-E,48783610,Kellogg Company
05DV5D-E,86366710,Stryker Corporation
001PS7-E,86366710,Stryker Corporation
05VK65-E,86366710,Stryker Corporation
05HGLR-E,86366710,Stryker Corporation
00482Q-E,86366710,Stryker Corporation
05X6Q0-E,86366710,Stryker Corporation
05DYRN-E,86366710,Stryker Corporation
09KG52-E,86366710,Stryker Corporation
05DYRQ-E,86366710,Stryker Corporation
06ZK9W-E,57459910,Masco Corporation
06VRJK-E,57459910,Masco Corporation
05JGJ5-E,57459910,Masco Corporation
05F267-E,57459910,Masco Corporation
000PFF-E,57459910,Masco Corporation
0B5JX7-E,57459910,Masco Corporation
05M8G2-E,57459910,Masco Corporation
002K2R-E,57459910,Masco Corporation
05G405-E,57459910,Masco Corporation
05G33K-E,57459910,Masco Corporation
00349X-E,92839U20,Visteon Corporation
076ZFS-E,92839U20,Visteon Corporation
001DLM-E,92839U20,Visteon Corporation
002TXB-E,92839U20,Visteon Corporation
061TFX-E,92839U20,Visteon Corporation
0BZ2YS-E,92839U20,Visteon Corporation
067SH1-E,92839U20,Visteon Corporation
002L7K-E,9972410,BorgWarner Inc.
00732R-E,9972410,BorgWarner Inc.
06C66Y-E,9972410,BorgWarner Inc.
001YKD-E,9972410,BorgWarner Inc.
05FHX5-E,9972410,BorgWarner Inc.
05SCX0-E,9972410,BorgWarner Inc.
05FDTW-E,9972410,BorgWarner Inc.
007GTP-E,9972410,BorgWarner Inc.
05DXDK-E,9972410,BorgWarner Inc.
00CCLJ-E,9972410,BorgWarner Inc.
05Y722-E,31354940,Federal-Mogul Holdings Corp
0048CM-E,31354940,Federal-Mogul Holdings Corp
001HVQ-E,31354940,Federal-Mogul Holdings Corp
073DDW-E,31354940,Federal-Mogul Holdings Corp
062SF1-E,31354940,Federal-Mogul Holdings Corp
004LZH-E,31354940,Federal-Mogul Holdings Corp
05XLQZ-E,31354940,Federal-Mogul Holdings Corp
05GYVK-E,31354940,Federal-Mogul Holdings Corp
05FJBS-E,59001K10,"Meritor, Inc."
001YJ4-E,59001K10,"Meritor, Inc."
05DXK2-E,59001K10,"Meritor, Inc."
05DW7F-E,59001K10,"Meritor, Inc."
05KY3Q-E,59001K10,"Meritor, Inc."
05F50R-E,59001K10,"Meritor, Inc."
05F8DC-E,59001K10,"Meritor, Inc."
005VJN-E,59001K10,"Meritor, Inc."
05FC14-E,2406110,Menlo Acquisition Corp.
001NSX-E,2406110,Menlo Acquisition Corp.
0C63PC-E,2406110,Menlo Acquisition Corp.
002LWJ-E,2406110,Menlo Acquisition Corp.
05F0D1-E,2406110,Menlo Acquisition Corp.
0069L5-E,2406110,Menlo Acquisition Corp.
06HBJV-E,2406110,Menlo Acquisition Corp.
05GX6Y-E,2406110,Menlo Acquisition Corp.
05LR4F-E,2406110,Menlo Acquisition Corp.
002N3Z-E,2406110,Menlo Acquisition Corp.
001SVT-E,21676P10,Cooper-Standard Holdings Inc.
09SKKL-E,21676P10,Cooper-Standard Holdings Inc.
09SKKR-E,21676P10,Cooper-Standard Holdings Inc.
067DKS-E,21676P10,Cooper-Standard Holdings Inc.
05J97M-E,21676P10,Cooper-Standard Holdings Inc.
05DYVT-E,21676P10,Cooper-Standard Holdings Inc.
066L54-E,85815520,Steelcase Inc. Class A
002CPJ-E,85815520,Steelcase Inc. Class A
004BW2-E,85815520,Steelcase Inc. Class A
002VRT-E,85815520,Steelcase Inc. Class A
05DVWN-E,85815520,Steelcase Inc. Class A
05F3XZ-E,85815520,Steelcase Inc. Class A
05HVW0-E,85815520,Steelcase Inc. Class A
05DYKY-E,85815520,Steelcase Inc. Class A
002CX6-E,85815520,Steelcase Inc. Class A
065TQR-E,85815520,Steelcase Inc. Class A
002D0W-E,85815520,Steelcase Inc. Class A
002D0Y-E,85815520,Steelcase Inc. Class A
002D16-E,85815520,Steelcase Inc. Class A
05G5JN-E,92927K10,WABCO Holdings Inc.
001XRG-E,92927K10,WABCO Holdings Inc.
004TVY-E,92927K10,WABCO Holdings Inc.
05G3MJ-E,92927K10,WABCO Holdings Inc.
05L1YW-E,92927K10,WABCO Holdings Inc.
00483W-E,92927K10,WABCO Holdings Inc.
002CZ6-E,92927K10,WABCO Holdings Inc.
05DYVX-E,92927K10,WABCO Holdings Inc.
00423K-E,97809710,"Wolverine World Wide, Inc."
005V5T-E,97809710,"Wolverine World Wide, Inc."
0DM892-E,97809710,"Wolverine World Wide, Inc."
05KYBG-E,97809710,"Wolverine World Wide, Inc."
004M4Z-E,97809710,"Wolverine World Wide, Inc."
05DYC7-E,97809710,"Wolverine World Wide, Inc."
05FHFD-E,97809710,"Wolverine World Wide, Inc."
00DBTM-E,97809710,"Wolverine World Wide, Inc."
001M1Y-E,97809710,"Wolverine World Wide, Inc."
05FFWK-E,97809710,"Wolverine World Wide, Inc."
071GK0-E,89182610,"Tower International, Inc."
05FM4G-E,89182610,"Tower International, Inc."
00GD1X-E,89182610,"Tower International, Inc."
07MV2D-E,89182610,"Tower International, Inc."
06J0CL-E,89182610,"Tower International, Inc."
073VYS-E,89182610,"Tower International, Inc."
06GZB3-E,59116R10,"Metaldyne Performance Group, Inc."
073LQ1-E,59116R10,"Metaldyne Performance Group, Inc."
05GX5B-E,59116R10,"Metaldyne Performance Group, Inc."
0BRPC8-E,59116R10,"Metaldyne Performance Group, Inc."
005CTD-E,59116R10,"Metaldyne Performance Group, Inc."
004RR9-E,59116R10,"Metaldyne Performance Group, Inc."
06MLFL-E,59116R10,"Metaldyne Performance Group, Inc."
05GSX4-E,60054410,"Herman Miller, Inc."
05HRSN-E,60054410,"Herman Miller, Inc."
004KHZ-E,60054410,"Herman Miller, Inc."
05HLQ0-E,60054410,"Herman Miller, Inc."
007N9B-E,60054410,"Herman Miller, Inc."
0050ZH-E,60054410,"Herman Miller, Inc."
06HX4Z-E,60054410,"Herman Miller, Inc."
0DK2K6-E,60054410,"Herman Miller, Inc."
05DYQ8-E,60054410,"Herman Miller, Inc."
05JS66-E,60054410,"Herman Miller, Inc."
05FFWL-E,60054410,"Herman Miller, Inc."
002709-E,89621520,TriMas Corporation
006PWY-E,89621520,TriMas Corporation
0D05BD-E,89621520,TriMas Corporation
05DYHH-E,89621520,TriMas Corporation
069ZB6-E,89621520,TriMas Corporation
061Y8K-E,89621520,TriMas Corporation
0077LR-E,89621520,TriMas Corporation
05F165-E,50533610,LaZBoy Incorporated
006PWY-E,50533610,LaZBoy Incorporated
09GVMP-E,50533610,LaZBoy Incorporated
05FH1B-E,50533610,LaZBoy Incorporated
004NKG-E,50533610,LaZBoy Incorporated
005PSV-E,50533610,LaZBoy Incorporated
064RZF-E,50533610,LaZBoy Incorporated
05FH1L-E,50533610,LaZBoy Incorporated
05F5T0-E,50533610,LaZBoy Incorporated
05DXPC-E,50533610,LaZBoy Incorporated
004H79-E,37190110,Gentex Corporation
0D2W73-E,37190110,Gentex Corporation
070QPD-E,37190110,Gentex Corporation
05FG6J-E,37190110,Gentex Corporation
070TD2-E,37190110,Gentex Corporation
007GTP-E,37190110,Gentex Corporation
00307D-E,37190110,Gentex Corporation
064NQL-E,37190110,Gentex Corporation
0730CX-E,87889530,Tecumseh Products Company
0069VN-E,87889530,Tecumseh Products Company
05F60D-E,87889530,Tecumseh Products Company
05DYVV-E,87889530,Tecumseh Products Company
068Z50-E,87889530,Tecumseh Products Company
0648R0-E,87889530,Tecumseh Products Company
05PB54-E,37253A10,Gentherm Incorporated
05G1S0-E,37253A10,Gentherm Incorporated
05QH3N-E,37253A10,Gentherm Incorporated
0CK4MV-E,37253A10,Gentherm Incorporated
062GH3-E,37253A10,Gentherm Incorporated
06F3PX-E,37253A10,Gentherm Incorporated
06ZT0T-E,37253A10,Gentherm Incorporated
00FHX3-E,37253A10,Gentherm Incorporated
05HD6V-E,77504310,Rofin-Sinar Technologies Inc.
05GSLV-E,77504310,Rofin-Sinar Technologies Inc.
004850-E,77504310,Rofin-Sinar Technologies Inc.
0023DX-E,77504310,Rofin-Sinar Technologies Inc.
004VFR-E,77504310,Rofin-Sinar Technologies Inc.
05FCXG-E,77504310,Rofin-Sinar Technologies Inc.
05GWC9-E,84681910,"Spartan Motors, Inc."
002B8M-E,84681910,"Spartan Motors, Inc."
009LX4-E,84681910,"Spartan Motors, Inc."
0049VC-E,84681910,"Spartan Motors, Inc."
064TCW-E,84681910,"Spartan Motors, Inc."
05H878-E,84681910,"Spartan Motors, Inc."
0043LR-E,64049110,Neogen Corporation
05H95L-E,64049110,Neogen Corporation
008S6R-E,64049110,Neogen Corporation
09TV1J-E,64049110,Neogen Corporation
05GWC6-E,64049110,Neogen Corporation
05GWC7-E,64049110,Neogen Corporation
05GWC0-E,64049110,Neogen Corporation
05DWC9-E,64049110,Neogen Corporation
05F6CF-E,4268220,Arotech Corporation
0046XF-E,4268220,Arotech Corporation
002K42-E,4268220,Arotech Corporation
07XBM7-E,4268220,Arotech Corporation
009PTP-E,4268220,Arotech Corporation
005CML-E,45685K10,"InfuSystem Holdings, Inc."
008NHZ-E,45685K10,"InfuSystem Holdings, Inc."
00FFQH-E,45685K10,"InfuSystem Holdings, Inc."
06K2TV-E,45685K10,"InfuSystem Holdings, Inc."
05GT3N-E,45685K10,"InfuSystem Holdings, Inc."
006LY2-E,31381910,Federal Screw Works
05GXS5-E,31381910,Federal Screw Works
05GXS6-E,31381910,Federal Screw Works
05GXS7-E,31381910,Federal Screw Works
05GXS8-E,31381910,Federal Screw Works
076BX7-E,31381910,Federal Screw Works
05GXSC-E,31381910,Federal Screw Works
05GXSB-E,31381910,Federal Screw Works
0CGFMK-E,71361F10,"Perceptron, Inc."
05Q1D6-E,71361F10,"Perceptron, Inc."
05Q1D7-E,71361F10,"Perceptron, Inc."
05Q1D8-E,71361F10,"Perceptron, Inc."
0635PR-E,71361F10,"Perceptron, Inc."
05Q1D9-E,71361F10,"Perceptron, Inc."
05Q1DC-E,71361F10,"Perceptron, Inc."
0DMFKT-E,77437410,"Rockwell Medical, Inc."
004MG0-E,77437410,"Rockwell Medical, Inc."
004MGG-E,77437410,"Rockwell Medical, Inc."
065YT0-E,7.54E+109,"Advanced Photonix, Inc."
005LR8-E,7.54E+109,"Advanced Photonix, Inc."
0060TF-E,7.54E+109,"Advanced Photonix, Inc."
0649ZS-E,7.54E+109,"Advanced Photonix, Inc."
007BFK-E,7.54E+109,"Advanced Photonix, Inc."
0B9GYG-E,28556010,Electronic Cigarettes International Group Ltd.
05DXFM-E,28556010,Electronic Cigarettes International Group Ltd.
09HN6Y-E,28556010,Electronic Cigarettes International Group Ltd.
00FKX6-E,28556010,Electronic Cigarettes International Group Ltd.
0DJRV2-E,28556010,Electronic Cigarettes International Group Ltd.
0DM618-E,9777020,"Bonal International, Inc."
094MRJ-E,9777020,"Bonal International, Inc."
0DM60Q-E,9777020,"Bonal International, Inc."
0DG2Z4-E,9777020,"Bonal International, Inc."
094MR3-E,9777020,"Bonal International, Inc."
0DKXYW-E,09173J10,Bitcoin Shop Inc
05H18W-E,29664W10,"Esperion Therapeutics, Inc."
002ZX8-E,29664W10,"Esperion Therapeutics, Inc."
05F9NJ-E,29664W10,"Esperion Therapeutics, Inc."
004ZGQ-E,29664W10,"Esperion Therapeutics, Inc."
05GJYN-E,29664W10,"Esperion Therapeutics, Inc."
05KZ16-E,29664W10,"Esperion Therapeutics, Inc."
05F197-E,29664W10,"Esperion Therapeutics, Inc."
05FQJL-E,29664W10,"Esperion Therapeutics, Inc."
0DRJZK-E,36848720,GEI Global Energy Corp.
0DHHGQ-E,36848720,GEI Global Energy Corp.
004W9B-E,84721510,SpartanNash Company
004CWS-E,84721510,SpartanNash Company
05F5HK-E,84721510,SpartanNash Company
05KZDY-E,84721510,SpartanNash Company
0027G7-E,84721510,SpartanNash Company
002PKT-E,84721510,SpartanNash Company
002ZWJ-E,84721510,SpartanNash Company
001M1Y-E,84721510,SpartanNash Company
06VQ94-E,84721510,SpartanNash Company
05GHVZ-E,84721510,SpartanNash Company
004HFB-E,91354310,"Universal Forest Products, Inc."
05HLMQ-E,91354310,"Universal Forest Products, Inc."
004H79-E,91354310,"Universal Forest Products, Inc."
005DJR-E,91354310,"Universal Forest Products, Inc."
004WX2-E,91354310,"Universal Forest Products, Inc."
006BTC-E,91354310,"Universal Forest Products, Inc."
0CJ53N-E,91354310,"Universal Forest Products, Inc."
05HLMT-E,91354310,"Universal Forest Products, Inc."
06SZ94-E,91354310,"Universal Forest Products, Inc."
005CML-E,25456K10,"Diplomat Pharmacy, Inc."
09NGSP-E,25456K10,"Diplomat Pharmacy, Inc."
062VPY-E,25456K10,"Diplomat Pharmacy, Inc."
09NGPG-E,25456K10,"Diplomat Pharmacy, Inc."
06Z985-E,25456K10,"Diplomat Pharmacy, Inc."
002BX0-E,25068510,Detrex Corporation
0BYBJD-E,25068510,Detrex Corporation
05H5JC-E,25068510,Detrex Corporation
004NNV-E,25068510,Detrex Corporation
05K6H0-E,70959W10,"Penske Automotive Group, Inc."
05FQS0-E,70959W10,"Penske Automotive Group, Inc."
05H1R5-E,70959W10,"Penske Automotive Group, Inc."
005LT4-E,70959W10,"Penske Automotive Group, Inc."
05SG3Z-E,70959W10,"Penske Automotive Group, Inc."
05DV7S-E,70959W10,"Penske Automotive Group, Inc."
05G6P2-E,70959W10,"Penske Automotive Group, Inc."
07KZHF-E,70959W10,"Penske Automotive Group, Inc."
0B75SX-E,70959W10,"Penske Automotive Group, Inc."
05FMN6-E,70959W10,"Penske Automotive Group, Inc."
002LH6-E,70959W10,"Penske Automotive Group, Inc."
07FR6L-E,57061T30,Marketing Worldwide Corporation
05GYFS-E,91388P10,"Universal Truckload Services, Inc."
006W9H-E,91388P10,"Universal Truckload Services, Inc."
061CYT-E,91388P10,"Universal Truckload Services, Inc."
080ZVR-E,91388P10,"Universal Truckload Services, Inc."
05LP1Y-E,91388P10,"Universal Truckload Services, Inc."
06DZ3Y-E,91388P10,"Universal Truckload Services, Inc."
05GYFQ-E,91388P10,"Universal Truckload Services, Inc."
006WBY-E,91388P10,"Universal Truckload Services, Inc."
006WC1-E,91388P10,"Universal Truckload Services, Inc."
09W43G-E,91388P10,"Universal Truckload Services, Inc."
05GGT4-E,87162H10,"Syntel, incorporated"
00C4RD-E,87162H10,"Syntel, incorporated"
05DVDH-E,87162H10,"Syntel, incorporated"
05HP79-E,87162H10,"Syntel, incorporated"
06RHBH-E,87162H10,"Syntel, incorporated"
06BY1C-E,87162H10,"Syntel, incorporated"
06K2BR-E,87162H10,"Syntel, incorporated"
001ZHN-E,87162H10,"Syntel, incorporated"
0036N5-E,20563810,Compuware Corporation
067WPZ-E,20563810,Compuware Corporation
0B8CVK-E,20563810,Compuware Corporation
05FBYY-E,20563810,Compuware Corporation
0047XQ-E,20563810,Compuware Corporation
0074M3-E,20563810,Compuware Corporation
005KC1-E,20563810,Compuware Corporation
0DFV04-E,20563810,Compuware Corporation
05FNKD-E,20563810,Compuware Corporation
005CBQ-E,20563810,Compuware Corporation
0063V5-E,78659830,"Saga Communications, Inc. Class A"
0DHLGP-E,78659830,"Saga Communications, Inc. Class A"
06PKNF-E,78659830,"Saga Communications, Inc. Class A"
05GJ8V-E,78659830,"Saga Communications, Inc. Class A"
05SF40-E,68401U10,OptimizeRx Corporation
07HT3N-E,68401U10,OptimizeRx Corporation
06C388-E,68401U10,OptimizeRx Corporation
0DVLH9-E,68401U10,OptimizeRx Corporation
09MGJ5-E,92936010,"WWA Group, Inc."
0C9Z77-E,92936010,"WWA Group, Inc."
067K1V-E,77060910,Robertson Global Health Solutions Corporation
09YB4X-E,77060910,Robertson Global Health Solutions Corporation
05F6H1-E,02005N10,Ally Financial Inc
05F49Y-E,02005N10,Ally Financial Inc
07BKFF-E,02005N10,Ally Financial Inc
05H32Y-E,02005N10,Ally Financial Inc
05MXQK-E,02005N10,Ally Financial Inc
05F0ND-E,02005N10,Ally Financial Inc
004MBH-E,02005N10,Ally Financial Inc
06QSNS-E,02005N10,Ally Financial Inc
0D42CT-E,02005N10,Ally Financial Inc
06D3G6-E,58319P10,"Meadowbrook Insurance Group, Inc."
05JNDB-E,58319P10,"Meadowbrook Insurance Group, Inc."
005RGZ-E,58319P10,"Meadowbrook Insurance Group, Inc."
00346C-E,58319P10,"Meadowbrook Insurance Group, Inc."
005RHQ-E,58319P10,"Meadowbrook Insurance Group, Inc."
05JNDK-E,58319P10,"Meadowbrook Insurance Group, Inc."
05JNDM-E,58319P10,"Meadowbrook Insurance Group, Inc."
05JNDN-E,58319P10,"Meadowbrook Insurance Group, Inc."
05JNDP-E,58319P10,"Meadowbrook Insurance Group, Inc."
05FH7W-E,22531010,Credit Acceptance Corporation
05G210-E,22531010,Credit Acceptance Corporation
002HY3-E,22531010,Credit Acceptance Corporation
0044GX-E,22531010,Credit Acceptance Corporation
0C918B-E,87482X10,"Talmer Bancorp, Inc. Class A"
0C919G-E,87482X10,"Talmer Bancorp, Inc. Class A"
05FSG8-E,87482X10,"Talmer Bancorp, Inc. Class A"
0BML8J-E,87482X10,"Talmer Bancorp, Inc. Class A"
0C917X-E,87482X10,"Talmer Bancorp, Inc. Class A"
05X2BZ-E,87482X10,"Talmer Bancorp, Inc. Class A"
007434-E,87482X10,"Talmer Bancorp, Inc. Class A"
05KPQ2-E,87482X10,"Talmer Bancorp, Inc. Class A"
0040CX-E,87482X10,"Talmer Bancorp, Inc. Class A"
0C918L-E,87482X10,"Talmer Bancorp, Inc. Class A"
007D4R-E,87482X10,"Talmer Bancorp, Inc. Class A"
073YQM-E,87482X10,"Talmer Bancorp, Inc. Class A"
06VMQV-E,87482X10,"Talmer Bancorp, Inc. Class A"
05FF0B-E,87482X10,"Talmer Bancorp, Inc. Class A"
0CZJ3F-E,91409010,"University Bancorp, Inc."
06W4RN-E,91409010,"University Bancorp, Inc."
005T2D-E,91409010,"University Bancorp, Inc."
005YGK-E,91409010,"University Bancorp, Inc."
0012DS-E,91409010,"University Bancorp, Inc."
05YNV6-E,91409010,"University Bancorp, Inc."
06XTVB-E,84336P10,"Southern Michigan Bancorp, Inc."
0F0TGW-E,84336P10,"Southern Michigan Bancorp, Inc."
005B4T-E,84336P10,"Southern Michigan Bancorp, Inc."
006QTN-E,84336P10,"Southern Michigan Bancorp, Inc."
05SMHX-E,84336P10,"Southern Michigan Bancorp, Inc."
005B5D-E,84336P10,"Southern Michigan Bancorp, Inc."
005B6W-E,84336P10,"Southern Michigan Bancorp, Inc."
006QV0-E,84336P10,"Southern Michigan Bancorp, Inc."
06Q761-E,84336P10,"Southern Michigan Bancorp, Inc."
005B5Q-E,84336P10,"Southern Michigan Bancorp, Inc."
005B56-E,84336P10,"Southern Michigan Bancorp, Inc."
0B263B-E,97788010,"Wolverine Bancorp, Inc."
0B264S-E,97788010,"Wolverine Bancorp, Inc."
0B260S-E,97788010,"Wolverine Bancorp, Inc."
0BS7BG-E,97788010,"Wolverine Bancorp, Inc."
06NMP2-E,97788010,"Wolverine Bancorp, Inc."
0BKHV7-E,97788010,"Wolverine Bancorp, Inc."
0B267Z-E,97788010,"Wolverine Bancorp, Inc."
0DV8BV-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
067B8N-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
0D686V-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
006G8B-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
06ZYS2-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
0D80FG-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
004WY5-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
006DLP-E,32021X10,"First Federal Of Northern Michigan Bancorp, Inc."
09LX1P-E,90255W10,UAN Power Corp.
0CSZQM-E,90255W10,UAN Power Corp.
09HP56-E,90255W10,UAN Power Corp.
005PS4-E,80011110,Sandston Corporation
06MMYM-E,80011110,Sandston Corporation
0BTG06-E,90255710,"UAN Cultural & Creative Co., Ltd."
09HP56-E,90255710,"UAN Cultural & Creative Co., Ltd."
004CXD-E,40432Y10,HPIL Holding
06NWYL-E,40432Y10,HPIL Holding
09RRBR-E,40432Y10,HPIL Holding
05FTB9-E,87666410,"Taubman Centers, Inc."
001M0S-E,87666410,"Taubman Centers, Inc."
05GV0K-E,87666410,"Taubman Centers, Inc."
05FHVJ-E,87666410,"Taubman Centers, Inc."
05DYRN-E,87666410,"Taubman Centers, Inc."
002K2R-E,87666410,"Taubman Centers, Inc."
05F32Y-E,87666410,"Taubman Centers, Inc."
05K4TB-E,86667410,"Sun Communities, Inc."
002LQY-E,86667410,"Sun Communities, Inc."
05FF07-E,86667410,"Sun Communities, Inc."
05FF08-E,86667410,"Sun Communities, Inc."
05FF09-E,86667410,"Sun Communities, Inc."
05FF0B-E,86667410,"Sun Communities, Inc."
05GTQ3-E,75145220,Ramco-Gershenson Properties Trust
05GTQC-E,75145220,Ramco-Gershenson Properties Trust
05FR25-E,75145220,Ramco-Gershenson Properties Trust
05QB9J-E,75145220,Ramco-Gershenson Properties Trust
05GTQD-E,75145220,Ramco-Gershenson Properties Trust
000VKS-E,75145220,Ramco-Gershenson Properties Trust
05GTQH-E,75145220,Ramco-Gershenson Properties Trust
07GXV4-E,6.86E+212,"Origen Financial, Inc."
05X2BZ-E,6.86E+212,"Origen Financial, Inc."
00954F-E,6.86E+212,"Origen Financial, Inc."
05FF01-E,6.86E+212,"Origen Financial, Inc."
05X2C4-E,6.86E+212,"Origen Financial, Inc."
007X3T-E,849210,Agree Realty Corporation
05H1QH-E,849210,Agree Realty Corporation
061TF7-E,849210,Agree Realty Corporation
05H1QK-E,849210,Agree Realty Corporation
075746-E,849210,Agree Realty Corporation
062MWM-E,849210,Agree Realty Corporation
05H1QG-E,849210,Agree Realty Corporation
001M42-E,44041U10,"Horizon Group Properties, Inc."
05K2TQ-E,44041U10,"Horizon Group Properties, Inc."
00244K-E,44041U10,"Horizon Group Properties, Inc."
00245Y-E,44041U10,"Horizon Group Properties, Inc."
0DMLFK-E,74325P10,"ProGreen Properties, Inc."
079PSG-E,74325P10,"ProGreen Properties, Inc."
05V7DD-E,74325P10,"ProGreen Properties, Inc."
