Board_Edges3_ID,Person_Id,Business_Id,Board,NAICS,NAICS3
25,05FKMF-E,23333110,DTE Energy Company,221112,221
14,05DYH7-E,23333110,DTE Energy Company,221112,221
18,004N6S-E,23333110,DTE Energy Company,221112,221
22,05DYHJ-E,23333110,DTE Energy Company,221112,221
49,0D1CB3-E,39304L10,"Cirque Energy, Inc.",221119,221
48,0C50JS-E,39304L10,"Cirque Energy, Inc.",221119,221
46,0D53PC-E,39304L10,"Cirque Energy, Inc.",221119,221
47,0D9P7R-E,39304L10,"Cirque Energy, Inc.",221119,221
2086,05FN44-E,000F58-E,Consumers Energy Company,221119,221
2083,05FD34-E,000F58-E,Consumers Energy Company,221119,221
2082,004ZG1-E,000F58-E,Consumers Energy Company,221119,221
2084,006PWY-E,000F58-E,Consumers Energy Company,221119,221
2085,05FHQP-E,000F58-E,Consumers Energy Company,221119,221
2088,0048J5-E,000F58-E,Consumers Energy Company,221119,221
2089,05DYVT-E,000F58-E,Consumers Energy Company,221119,221
2090,00663S-E,000F58-E,Consumers Energy Company,221119,221
2091,05F3XY-E,000F58-E,Consumers Energy Company,221119,221
2081,05DV59-E,000F58-E,Consumers Energy Company,221119,221
2087,05F2R4-E,000F58-E,Consumers Energy Company,221119,221
2908,06QL6S-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2912,05GR7R-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2910,0B6RDC-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2911,06D43L-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2907,0664WZ-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2913,0717GL-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2909,07LBLD-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
2906,0BPJ9H-E,0BP6Q3-E,Detroit Renewable Energy LLC,221119,221
1775,07N5TG-E,0039D7-E,Edison Sault Electric Co.,221119,221
1715,062B6S-E,05XCJH-E,"Sterling Technologies, Inc.",221119,221
797,006KLQ-E,0073P6-E,Tellurex Corp.,221119,221
1589,09JDR7-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1590,09JDRL-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1591,09JDPP-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1592,0DSR3K-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1594,09JDP2-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1593,09JDSJ-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1587,09JDSY-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1586,0D6T1M-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1588,09JDS7-E,07PYVQ-E,Thumb Electric Cooperative of Michigan,221119,221
1681,0085DG-E,06Z2HW-E,United Solar Ovonic LLC,221119,221
3001,0BBGX9-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
2998,07998W-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
3000,07MYNB-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
3002,005P1F-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
3003,06TDPN-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
2999,07MYMY-E,0B6JMJ-E,ZeroBase Energy LLC,221119,221
1694,05G1C9-E,074FHG-E,International Transmission Co. Holding Corp.,221121,221
44,008HPC-E,46568510,ITC Holdings Corp.,221121,221
43,0047YW-E,46568510,ITC Holdings Corp.,221121,221
42,05F5YF-E,46568510,ITC Holdings Corp.,221121,221
41,06LHDC-E,46568510,ITC Holdings Corp.,221121,221
40,006VN4-E,46568510,ITC Holdings Corp.,221121,221
38,0091GM-E,46568510,ITC Holdings Corp.,221121,221
37,0DVHPX-E,46568510,ITC Holdings Corp.,221121,221
45,05G1C9-E,46568510,ITC Holdings Corp.,221121,221
39,05F1YZ-E,46568510,ITC Holdings Corp.,221121,221
869,05RGYC-E,07P52X-E,Cherryland Electric Cooperative,221122,221
870,088D6K-E,07P52X-E,Cherryland Electric Cooperative,221122,221
871,088D67-E,07P52X-E,Cherryland Electric Cooperative,221122,221
873,082ZQ9-E,07P52X-E,Cherryland Electric Cooperative,221122,221
874,063M7J-E,07P52X-E,Cherryland Electric Cooperative,221122,221
875,088D28-E,07P52X-E,Cherryland Electric Cooperative,221122,221
876,0BQ23Y-E,07P52X-E,Cherryland Electric Cooperative,221122,221
872,088D43-E,07P52X-E,Cherryland Electric Cooperative,221122,221
51,0C3RD8-E,58153110,"Mckenzie Bay International, Ltd.",221122,221
50,07LSQ8-E,58153110,"Mckenzie Bay International, Ltd.",221122,221
52,07LSQ0-E,58153110,"Mckenzie Bay International, Ltd.",221122,221
1723,064K5X-E,05ND5R-E,Michigan Electric Transmission Co. LLC,221122,221
1216,086Z27-E,075NYZ-E,Michigan South Central Power Agency,221122,221
1215,086Z3H-E,075NYZ-E,Michigan South Central Power Agency,221122,221
1214,086Z35-E,075NYZ-E,Michigan South Central Power Agency,221122,221
1210,0867S1-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
1211,08684D-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
1209,0867QN-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
1212,0867WQ-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
1208,0867SV-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
1213,08683B-E,07G0Z4-E,Midwest Energy Cooperative,221122,221
2843,05G3K3-E,0646X9-E,CMS Enterprises Co.,221210,221
2842,0CS2WD-E,0646X9-E,CMS Enterprises Co.,221210,221
2993,05HMYG-E,072H8G-E,Continental Energy Systems LLC,221210,221
2992,0706PG-E,072H8G-E,Continental Energy Systems LLC,221210,221
2994,05GB5X-E,072H8G-E,Continental Energy Systems LLC,221210,221
2995,076QGM-E,072H8G-E,Continental Energy Systems LLC,221210,221
2996,0629WB-E,072H8G-E,Continental Energy Systems LLC,221210,221
2997,0629YL-E,072H8G-E,Continental Energy Systems LLC,221210,221
1678,007DXK-E,000PZ1-E,DTE Gas Co.,221210,221
1704,05HHHZ-E,06RFSR-E,Semco Energy Gas Co.,221210,221
8,05F093-E,74586710,"PulteGroup, Inc.",236115,236
2,05FF82-E,74586710,"PulteGroup, Inc.",236115,236
3,05JY1J-E,74586710,"PulteGroup, Inc.",236115,236
7,05DY9J-E,74586710,"PulteGroup, Inc.",236115,236
6,005740-E,74586710,"PulteGroup, Inc.",236115,236
1,05DXM8-E,74586710,"PulteGroup, Inc.",236115,236
4,05DW00-E,74586710,"PulteGroup, Inc.",236115,236
5,00788Q-E,74586710,"PulteGroup, Inc.",236115,236
2585,09NXGR-E,0030JD-E,"Champion Home Builders, Inc.",236117,236
2583,05TGLS-E,0030JD-E,"Champion Home Builders, Inc.",236117,236
2584,06B21M-E,0030JD-E,"Champion Home Builders, Inc.",236117,236
2586,0BSH25-E,0030JD-E,"Champion Home Builders, Inc.",236117,236
1266,089Z30-E,07Q6N0-E,"Bilt-Rite Construction, Inc.",236118,236
883,09Y1XG-E,074JF7-E,Sturgis Improvement Association,236118,236
882,05YPKW-E,074JF7-E,Sturgis Improvement Association,236118,236
2755,073SMR-E,061SSV-E,Barton Malow Co.,236220,236
2754,0DKY8F-E,061SSV-E,Barton Malow Co.,236220,236
2753,0DKY85-E,061SSV-E,Barton Malow Co.,236220,236
804,00BVJ6-E,06584H-E,Christman Company,236220,236
807,068083-E,06584H-E,Christman Company,236220,236
806,00BVJ6-E,06584H-E,Christman Company,236220,236
805,068083-E,06584H-E,Christman Company,236220,236
1304,0B1HSX-E,07VGV1-E,"Crittenden Construction Co., Inc.",236220,236
1284,08XP1K-E,07PB3N-E,"Leidal & Hart Mason Contractors, Inc.",236220,236
1285,08XP1K-E,07PB3N-E,"Leidal & Hart Mason Contractors, Inc.",236220,236
1160,084N45-E,0713PT-E,Three Rivers Corp.,236220,236
1159,084N9Q-E,0713PT-E,Three Rivers Corp.,236220,236
1162,084N45-E,0713PT-E,Three Rivers Corp.,236220,236
1161,084N9Q-E,0713PT-E,Three Rivers Corp.,236220,236
1227,087GS0-E,07PQ0Y-E,"Woods Construction, Inc.",236220,236
1226,087GS0-E,07PQ0Y-E,"Woods Construction, Inc.",236220,236
1519,0C4F52-E,07Z5YZ-E,B&B Environmental Services LLC,237110,237
1517,0C4F4P-E,07Z5YZ-E,B&B Environmental Services LLC,237110,237
1518,0C4F4W-E,07Z5YZ-E,B&B Environmental Services LLC,237110,237
2745,066W70-E,0CK0V9-E,PowerTeam Services LLC,237120,237
2746,060JR8-E,0CK0V9-E,PowerTeam Services LLC,237120,237
2744,0CK2PS-E,0CK0V9-E,PowerTeam Services LLC,237120,237
1244,0892CQ-E,07NQ3S-E,Bacco Construction Co.,237310,237
1245,0892CQ-E,07NQ3S-E,Bacco Construction Co.,237310,237
1261,089XCB-E,07PCRC-E,"Milbocker & Sons, Inc.",237310,237
1260,089XCB-E,07PCRC-E,"Milbocker & Sons, Inc.",237310,237
854,05GXMS-E,07WQVN-E,"Applied Science, Inc.",237990,237
1329,0BT06F-E,07WSQM-E,Abbott K. Shlain Co.,238130,238
813,00DF07-E,0850MW-E,C.C. Power LLC,238210,238
814,00DD7P-E,0850MW-E,C.C. Power LLC,238210,238
815,00DF07-E,0850MW-E,C.C. Power LLC,238210,238
816,00DD7P-E,0850MW-E,C.C. Power LLC,238210,238
1247,089DNL-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1250,089DN3-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1249,089DMX-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1248,089DNC-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1246,089DN3-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1251,089DNL-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1252,089DNC-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
1253,089DMX-E,07MWZV-E,Douglas Steel Fabricating Corp.,238220,238
782,0032R5-E,0BZY5P-E,"Godwin Plumbing, Inc.",238220,238
1785,09T5ZY-E,0809XX-E,"Owens Cos., Inc.",238220,238
1281,08BS3Q-E,07R44G-E,"Acoustic Ceiling & Partition Co., Inc.",238310,238
1280,08BS3Q-E,07R44G-E,"Acoustic Ceiling & Partition Co., Inc.",238310,238
784,003PSP-E,0641YS-E,"Duro-Last Roofing, Inc.",238390,238
785,003PSP-E,0641YS-E,"Duro-Last Roofing, Inc.",238390,238
846,05G2NM-E,082MK3-E,Schreiber Corp.,238390,238
961,06C0CG-E,0653JK-E,Star of the West Milling Company,311211,311
127,05JZCB-E,48783610,Kellogg Company,311230,311
117,004S0S-E,48783610,Kellogg Company,311230,311
118,05DY1F-E,48783610,Kellogg Company,311230,311
119,05F5TJ-E,48783610,Kellogg Company,311230,311
120,005WSP-E,48783610,Kellogg Company,311230,311
121,05DW2Z-E,48783610,Kellogg Company,311230,311
122,05G3K0-E,48783610,Kellogg Company,311230,311
123,005KLD-E,48783610,Kellogg Company,311230,311
124,05DY1N-E,48783610,Kellogg Company,311230,311
126,05F86S-E,48783610,Kellogg Company,311230,311
128,0CHZQS-E,48783610,Kellogg Company,311230,311
125,007PZY-E,48783610,Kellogg Company,311230,311
2176,07473N-E,05ND66-E,Michigan Sugar Co.,311312,311
2167,06B83Z-E,05ND66-E,Michigan Sugar Co.,311312,311
2168,07473H-E,05ND66-E,Michigan Sugar Co.,311312,311
2169,06LF6V-E,05ND66-E,Michigan Sugar Co.,311312,311
2170,06LF70-E,05ND66-E,Michigan Sugar Co.,311312,311
2171,06LF72-E,05ND66-E,Michigan Sugar Co.,311312,311
2172,06LF64-E,05ND66-E,Michigan Sugar Co.,311312,311
2173,07473L-E,05ND66-E,Michigan Sugar Co.,311312,311
2174,06LF79-E,05ND66-E,Michigan Sugar Co.,311312,311
2175,07473M-E,05ND66-E,Michigan Sugar Co.,311312,311
1799,0C6JCT-E,080LHH-E,A.M. Todd Co.,311411,311
803,00BV6S-E,064752-E,"Cole's Quality Foods, Inc.",311412,311
2728,0BNF6V-E,000L0X-E,Gerber Products Company,311422,311
2727,06GVJ6-E,000L0X-E,Gerber Products Company,311422,311
2726,0BNF6L-E,000L0X-E,Gerber Products Company,311422,311
1455,0B9WKK-E,07Z9YM-E,"Vandco, Inc.",311612,311
1454,0B9WKD-E,07Z9YM-E,"Vandco, Inc.",311612,311
1453,0B9WL0-E,07Z9YM-E,"Vandco, Inc.",311612,311
1452,0B9WKS-E,07Z9YM-E,"Vandco, Inc.",311612,311
1051,06SM1B-E,0655R2-E,A.M. Todd Group Co.,311942,311
1052,074BX1-E,0655R2-E,A.M. Todd Group Co.,311942,311
1053,067P15-E,0655R2-E,A.M. Todd Group Co.,311942,311
1054,06SLZV-E,0655R2-E,A.M. Todd Group Co.,311942,311
1055,074BWY-E,0655R2-E,A.M. Todd Group Co.,311942,311
1696,05G6MP-E,078G5D-E,"Kalsec, Inc.",311942,311
348,0DJRV2-E,28556010,Electronic Cigarettes International Group Ltd.,312221,312
347,00FKX6-E,28556010,Electronic Cigarettes International Group Ltd.,312221,312
346,09HN6Y-E,28556010,Electronic Cigarettes International Group Ltd.,312221,312
344,0B9GYG-E,28556010,Electronic Cigarettes International Group Ltd.,312221,312
345,05DXFM-E,28556010,Electronic Cigarettes International Group Ltd.,312221,312
1769,07BW2T-E,000KXP-E,Gelman Sciences Inc.,314999,314
1357,0CWGN6-E,06GMSH-E,"Performance Fabrics, Inc.",315299,315
218,00423K-E,97809710,"Wolverine World Wide, Inc.",316213,316
226,001M1Y-E,97809710,"Wolverine World Wide, Inc.",316213,316
227,05FFWK-E,97809710,"Wolverine World Wide, Inc.",316213,316
223,05DYC7-E,97809710,"Wolverine World Wide, Inc.",316213,316
224,05FHFD-E,97809710,"Wolverine World Wide, Inc.",316213,316
225,00DBTM-E,97809710,"Wolverine World Wide, Inc.",316213,316
221,05KYBG-E,97809710,"Wolverine World Wide, Inc.",316213,316
220,0DM892-E,97809710,"Wolverine World Wide, Inc.",316213,316
219,005V5T-E,97809710,"Wolverine World Wide, Inc.",316213,316
222,004M4Z-E,97809710,"Wolverine World Wide, Inc.",316213,316
2696,072N98-E,063B6Z-E,"Kok's Woodgoods, Inc.",321113,321
2697,0C6304-E,063B6Z-E,"Kok's Woodgoods, Inc.",321113,321
2698,07WJY8-E,063B6Z-E,"Kok's Woodgoods, Inc.",321113,321
1289,09MLGL-E,07W3V3-E,PRA Co.,321920,321
1697,05G8Z6-E,000DMF-E,Champion Enterprises,321992,321
1441,0B1X43-E,07YNFJ-E,Handy Wacks Corp.,322215,322
1443,0B1X6H-E,07YNFJ-E,Handy Wacks Corp.,322215,322
1442,0B1X63-E,07YNFJ-E,Handy Wacks Corp.,322215,322
2838,0CLCNH-E,06792Y-E,"Cello-Foil Products, Inc.",322223,322
2839,004406-E,06792Y-E,"Cello-Foil Products, Inc.",322223,322
847,05GJG4-E,05LWSW-E,Allegra Network LLC,323114,323
963,06CBZM-E,0642CW-E,"Walters-Dimmick Petroleum, Inc.",324110,324
1356,0CVYRH-E,07XG1K-E,Chem Trend Holding LP,324191,324
775,002L0C-E,09SV3D-E,General Chemical Corporation,324191,324
776,004VM4-E,09SV3D-E,General Chemical Corporation,324191,324
1669,004Z39-E,06FJ8H-E,"PVS Technologies, Inc.",325188,325
1794,0C0T4S-E,09HRBP-E,Silbond Corporation,325193,325
1104,07FPRL-E,06L8F3-E,ESCO Co. LLP,325199,325
1078,074SBQ-E,05L77C-E,"Pressure Vessel Service, Inc.",325199,325
86,05DZDB-E,26054310,Dow Chemical Company,325211,325
79,05DXBX-E,26054310,Dow Chemical Company,325211,325
80,007NFD-E,26054310,Dow Chemical Company,325211,325
81,05DXC0-E,26054310,Dow Chemical Company,325211,325
83,05DVQH-E,26054310,Dow Chemical Company,325211,325
84,06Z08F-E,26054310,Dow Chemical Company,325211,325
87,05DYJV-E,26054310,Dow Chemical Company,325211,325
82,004B82-E,26054310,Dow Chemical Company,325211,325
85,002RPX-E,26054310,Dow Chemical Company,325211,325
1650,06NMPN-E,000HN9-E,Dow Corning Corp.,325211,325
1644,006GK8-E,000HN9-E,Dow Corning Corp.,325211,325
1648,0CGK93-E,000HN9-E,Dow Corning Corp.,325211,325
1643,068XB8-E,000HN9-E,Dow Corning Corp.,325211,325
1652,06FXMC-E,000HN9-E,Dow Corning Corp.,325211,325
1640,063V5X-E,000HN9-E,Dow Corning Corp.,325211,325
1647,0076VQ-E,000HN9-E,Dow Corning Corp.,325211,325
1642,05G4JS-E,000HN9-E,Dow Corning Corp.,325211,325
1641,06929K-E,000HN9-E,Dow Corning Corp.,325211,325
1646,005F22-E,000HN9-E,Dow Corning Corp.,325211,325
1645,006KY1-E,000HN9-E,Dow Corning Corp.,325211,325
1651,0BKHV7-E,000HN9-E,Dow Corning Corp.,325211,325
1649,05DXCL-E,000HN9-E,Dow Corning Corp.,325211,325
1362,0D7KD6-E,0093DM-E,"GANTEC, Inc.",325320,325
895,063HFN-E,05VGWG-E,"Twinlab Holdings, Inc.",325411,325
2710,05DVKZ-E,07BF9P-E,ViSalus Holdings LLC,325411,325
2709,063GBR-E,07BF9P-E,ViSalus Holdings LLC,325411,325
2708,07BFC3-E,07BF9P-E,ViSalus Holdings LLC,325411,325
1734,069DZ2-E,067JPH-E,"Astral, Inc.",325412,325
3217,078SBX-E,00B798-E,"Aursos, Inc.",325412,325
3216,06ZPKJ-E,00B798-E,"Aursos, Inc.",325412,325
2606,06P3HY-E,0014DL-E,Caraco Pharmaceutical Laboratories Ltd.,325412,325
2603,0BVVJP-E,0014DL-E,Caraco Pharmaceutical Laboratories Ltd.,325412,325
2605,006VHS-E,0014DL-E,Caraco Pharmaceutical Laboratories Ltd.,325412,325
2604,06G0C9-E,0014DL-E,Caraco Pharmaceutical Laboratories Ltd.,325412,325
2449,06B97X-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
2453,0C682Z-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
2452,004ZHD-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
2450,063G0G-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
2448,06CNSZ-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
2451,063234-E,06WZ1K-E,"Cerenis Therapeutics, Inc.",325412,325
1043,06S23P-E,008ZKF-E,"Conceivex, Inc.",325412,325
1050,06S244-E,008ZKF-E,"Conceivex, Inc.",325412,325
1049,06S23T-E,008ZKF-E,"Conceivex, Inc.",325412,325
1048,06S23N-E,008ZKF-E,"Conceivex, Inc.",325412,325
1047,06S23Z-E,008ZKF-E,"Conceivex, Inc.",325412,325
1046,0DHQH5-E,008ZKF-E,"Conceivex, Inc.",325412,325
1044,06S24D-E,008ZKF-E,"Conceivex, Inc.",325412,325
1042,06S23S-E,008ZKF-E,"Conceivex, Inc.",325412,325
1045,06S241-E,008ZKF-E,"Conceivex, Inc.",325412,325
357,05F9NJ-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
358,004ZGQ-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
359,05GJYN-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
360,05KZ16-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
361,05F197-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
362,05FQJL-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
355,05H18W-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
356,002ZX8-E,29664W10,"Esperion Therapeutics, Inc.",325412,325
2980,0614RR-E,008THT-E,Lycera Corp.,325412,325
2981,06S31B-E,008THT-E,Lycera Corp.,325412,325
2982,06K23X-E,008THT-E,Lycera Corp.,325412,325
2983,05ZG35-E,008THT-E,Lycera Corp.,325412,325
2984,05GJYN-E,008THT-E,Lycera Corp.,325412,325
2985,0C4F5W-E,008THT-E,Lycera Corp.,325412,325
2905,05JBFB-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2901,079QYM-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2904,066BJW-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2903,05DYRN-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2900,05F666-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2899,079QYR-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2898,0795S7-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2897,06HV81-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
2902,068RPR-E,009WRR-E,Metabolic Solutions Development Co. LLC,325412,325
880,05KJVT-E,064B45-E,"MPI Research, Inc.",325412,325
879,05TH8S-E,064B45-E,"MPI Research, Inc.",325412,325
987,06HV84-E,008HBW-E,"NanoMed Pharmaceuticals, Inc.",325412,325
989,089KYR-E,008HBW-E,"NanoMed Pharmaceuticals, Inc.",325412,325
988,06HV82-E,008HBW-E,"NanoMed Pharmaceuticals, Inc.",325412,325
308,05GWC7-E,64049110,Neogen Corporation,325412,325
310,05DWC9-E,64049110,Neogen Corporation,325412,325
304,05H95L-E,64049110,Neogen Corporation,325412,325
309,05GWC0-E,64049110,Neogen Corporation,325412,325
305,008S6R-E,64049110,Neogen Corporation,325412,325
306,09TV1J-E,64049110,Neogen Corporation,325412,325
307,05GWC6-E,64049110,Neogen Corporation,325412,325
303,0043LR-E,64049110,Neogen Corporation,325412,325
3086,05TX6H-E,005VL0-E,"ProNAi Therapeutics, Inc.",325412,325
3088,05VJRF-E,005VL0-E,"ProNAi Therapeutics, Inc.",325412,325
3089,07NVML-E,005VL0-E,"ProNAi Therapeutics, Inc.",325412,325
3087,05ZCH7-E,005VL0-E,"ProNAi Therapeutics, Inc.",325412,325
2915,004PQ8-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2917,05FLRL-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2916,05VJ83-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2914,006GG5-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2920,05JBFB-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2919,05GJYL-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
2918,05FFSM-E,003J61-E,QuatRx Pharmaceuticals Company,325412,325
829,06T93W-E,09YFWL-E,"Life Magnetics, Inc.",325413,325
827,05FMGY-E,09YFWL-E,"Life Magnetics, Inc.",325413,325
828,061F8R-E,09YFWL-E,"Life Magnetics, Inc.",325413,325
2497,0626TR-E,079GMF-E,"Endra, Inc.",325414,325
2496,00BX3T-E,079GMF-E,"Endra, Inc.",325414,325
2495,065ZZ8-E,079GMF-E,"Endra, Inc.",325414,325
2494,008GM9-E,079GMF-E,"Endra, Inc.",325414,325
2493,00BX2Q-E,079GMF-E,"Endra, Inc.",325414,325
2660,05MQJF-E,008Y1X-E,"Incept BioSystems, Inc.",325414,325
2662,05Z9GP-E,008Y1X-E,"Incept BioSystems, Inc.",325414,325
2661,05HM6S-E,008Y1X-E,"Incept BioSystems, Inc.",325414,325
2943,05FHYM-E,006GZC-E,Nanobio Corporation,325414,325
2942,05YLV4-E,006GZC-E,Nanobio Corporation,325414,325
2944,05DY6G-E,006GZC-E,Nanobio Corporation,325414,325
2945,06KLJW-E,006GZC-E,Nanobio Corporation,325414,325
2946,05H3VP-E,006GZC-E,Nanobio Corporation,325414,325
2948,063716-E,006GZC-E,Nanobio Corporation,325414,325
2947,05FVH2-E,006GZC-E,Nanobio Corporation,325414,325
2975,06R54Y-E,005QL9-E,NephRx Corp.,325414,325
2976,06HV84-E,005QL9-E,NephRx Corp.,325414,325
2977,005M1K-E,005QL9-E,NephRx Corp.,325414,325
2978,05M8G2-E,005QL9-E,NephRx Corp.,325414,325
2979,0628Y5-E,005QL9-E,NephRx Corp.,325414,325
2974,0601BK-E,005QL9-E,NephRx Corp.,325414,325
1759,06YWQR-E,06YWMX-E,SensiGen LLC,325414,325
3004,07BR4B-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
3005,063861-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
3006,06BVLB-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
3007,06R1LV-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
3008,06Q7XD-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
3009,002P3W-E,09XSMY-E,"Swift Biosciences, Inc.",325414,325
1097,07CD1V-E,07CCZQ-E,"Allied Photochemical, Inc.",325510,325
1094,07CD1S-E,07CCZQ-E,"Allied Photochemical, Inc.",325510,325
1096,07CD1F-E,07CCZQ-E,"Allied Photochemical, Inc.",325510,325
1095,07CD14-E,07CCZQ-E,"Allied Photochemical, Inc.",325510,325
1680,007XDQ-E,0641LS-E,DuPont Automotive Co.,325510,325
1309,0B2XMC-E,07TZGJ-E,"Universal Coating, Inc.",325510,325
2345,06LG6R-E,05N3DL-E,"Alticor, Inc.",325612,325
2341,05F0BC-E,05N3DL-E,"Alticor, Inc.",325612,325
2343,06DTWD-E,05N3DL-E,"Alticor, Inc.",325612,325
